First_line,Author,References_or_purpose,TiS,AHB,AoV,All_together_books,NCH,Iona_books,CH4,UMH,VU_MV,StJ_StS,Lutheran_sources,Evangelical_Lutheran_Worship,Alleluia_Aotearoa_Faith_Forever_Singing,StF_FwS,Hymns_for_a_Pilgrim_People_Congregational,Presbyterian_Hymnal,Gather_2nd_Ed,Gather_comprehensive,Gather_Comprehensive_2,Ritual_Song,CP_Canada,CP_England,Column_24,Chalice,Zion_Still_Sings,The_Source,URW,Column_29,StF,Column_31,MP,Comments,Column_39,Column_40
Above the moon earth rises,(Troeger),Care for Creation; Earth Day;,,,,,,,,,,,,,,A&M531,,,,,,,,CP(E) 249,,,,,,,,,,"A little too poetic for me, but many, particularly older congregations may really appreciate this hymn, which seem s to even taLk about global warming. Sung to the familiar tune SALLEY GARDENS",,
Above the peaks the angels sing,(Gibson),Christmas,,,,,,,,,,,,,CoC02,,,,,,,,,,,,,,,,,,,NZ specific,,
Above the voices of the world around me,,,,,,,,,,,,,,,,A&M114,,,,,,,,,,,SP34,,,,,,MP005,,,
Absolute trust ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srce2-2,,,,,,,,
Abundant life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau688,,,,
Accept O God The gifts we bring,(Bergeron Folkemer),offertory,,,,,,,,,,,WoV759,ELW691,,,,,,,,,,,,Cha379,,,,,,,,A good song for bringing forward the elements before communion / during the offering; sung to a lovely folk tune (BARBARA ALLEN),,
Accept O God The gifts we bring,(Parrott),,,,,,,,,,,,,,,,,,,,,,,,,Cha379,,,,,,,,Dull.,,
Acclamations (Farrell),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau560-561,,,,
According to thy gracious word,(Montgomery),Too old fashioned to be meaningful,TiS 515,AHB 436,,,,,CH668,,,,,,,A&M420,HPP520,,,,,,,CP(E) 276,,Cha402,,,,,,,,1 Co 11:23-26,,
Act Justly,(O'Brien/Watts),Micah 6:8,,,AoV1-050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Simple chant-like chorus, and strong verses. I love this one.",,
Acts Chapter 2 Verse 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srce4,,,,,,,,
Adeste fideles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau159a,,,,
Adoramus Te Christe,(Haugen),Good Friday Acclamation. It's really nice. Might be good to some musicians singing this quietly on Good Friday. The Refrain is a canon. ,,,,,,,,,,,,,GA305,,,,,GC396,GC(II)400,G(3)476,CP338,,,,,,,,,,,"search for ""adoramus""",,
Adoramus te Domine Deus,(Rizza),,,,,,,,CH750,,,,,,,,,,,,,,,,,,,,,,,Lau667,,a,A very simple chant which would be good for an entire congregation.,
Adore ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srce2-3,,,,,,,,
Advent candles tell their story (for wreath lighting),(Earey),,,,,,,,,,,,,,,A&M26,,,,,,,,,,,SP7,,,,StF165,,,,,
Ae sad Zamiinde Ioko,,Ps 100; ,,,,,,,,,,,,,,,,,,,,,,,,,PfAS100D,,,,,,,,,
Affirm anew the threefold name,,,,,,,,,,,,,,,,A&M268,,,,,,,,CP(E) 200,,,SP101,,,,,,,,,
After darkness light,Fred Pratt Green,Ridgeway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StF292,,,,,
Ag Criost an siol,,Irish song of harvest thanksgiving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau737,,,,
Again we keep this solemn fast,(Gregory the Great),Lent; JOEL 2:12–18; Matt 6:1–6; Matt 6:16–18,,,,,NCH187,,,,,,,,,,,,,GC382,GC(II)407,G(3)487,,,,,,,,,,Lau199,,Just really old.,"OLD HUNDREDTH, ERHALT UNS HERR",
Agios o Theos,,can't access,,,,,,,,,,StJ,,,,,,,,,,,,,,,,,,,,,,,,
Agnus Dei,(Plainsong),,,,,,,,,,,,WoV620,,,,,,,,,,,,,,,,,,,,,Ordinarium XVIII. I quite like this. ,,
Agnus Dei ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srce2-4,,,,,,,,
Agnus Dei (Lamb of God),Liturgical text,St Anne's Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StF787,,,,,
Agnus Dei (Mass XVIII),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau509,,,,
Agnus Dei (Missa de Angelis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau500,,,,
Agnus Dei (Schiavone),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau596,,,,
